Year,State,Division,County,Region,Population_Description,Offense,Offender_Race,Offender_Ethnicity,Offender_Age,Offender_Sex,Victim_Type,Location,Weapon,Property_Type,Stolen_Value,Recovered_Value,Recovered?,Recovery_Date
2019,North Carolina,South Atlantic,WILKES,South,"Cities from 2,500 thru 9,999",All Other Larceny,White,Not Hispanic or Latino,,M,Individual,Parking/Drop Lot/Garage,,Industrial Equipment,1200.0,1200.0,Y,15-Jul-19
2019,North Carolina,South Atlantic,GRANVILLE,South,"Cities from 2,500 thru 9,999",Motor Vehicle Theft,Unknown,Unknown,,U,Individual,Residence/Home,,Automobile,15000.0,0.0,N,
2019,North Carolina,South Atlantic,SAMPSON,South,"Non-MSA counties from 25,000 thru 99,999",Burglary/Breaking & Entering,Unknown,Hispanic or Latino,28.0,F,Individual,Residence/Home,,Radio/ TV/ VCR,1500.0,0.0,N,
2019,North Carolina,South Atlantic,GUILFORD,South,"Cities from 250,000 thru 499,999",All Other Larceny,,,,,Individual,Residence/Home,,Tools,7670.0,0.0,N,
2019,North Carolina,South Atlantic,SAMPSON,South,"Non-MSA counties from 25,000 thru 99,999",Destruction/Damage/Vandalism of Property,Unknown,Hispanic or Latino,28.0,F,Individual,Residence/Home,,Radio/ TV/ VCR,1500.0,0.0,N,
2019,Georgia,South Atlantic,GORDON,South,"Non-MSA counties from 25,000 thru 99,999",All Other Larceny,,,,,Individual,Highway/Road/Alley/Street/Sidewalk,,Building Materials,1820.0,0.0,N,
2019,North Carolina,South Atlantic,WAKE,South,"MSA counties 100,000 or over",Motor Vehicle Theft,,,,,Individual,Residence/Home,,Recreational Vehicles,4000.0,0.0,N,
2019,Arkansas,West South Central,FAULKNER,South,"Cities from 50,000 thru 99,999",Destruction/Damage/Vandalism of Property,White,Not Hispanic or Latino,29.0,M,Government,Highway/Road/Alley/Street/Sidewalk,,Automobile,25000.0,25000.0,Y,28-Aug-19
2019,Arkansas,West South Central,BENTON,South,"Cities from 50,000 thru 99,999",All Other Larceny,,,,,Individual,Highway/Road/Alley/Street/Sidewalk,,Tools,11235.0,0.0,N,
2019,Virginia,South Atlantic,SHENANDOAH,South,"Non-MSA counties from 25,000 thru 99,999",Theft From Building,,,,,Individual,Rest Area,,Portable Electronic Communications,13259.0,0.0,N,
2019,North Carolina,South Atlantic,PITT,South,"MSA counties from 25,000 thru 99,999",All Other Larceny,,,,,Individual,Construction Site,,Tools,2000.0,0.0,N,
2019,North Carolina,South Atlantic,WAKE,South,"MSA counties 100,000 or over",Motor Vehicle Theft,,,,,Individual,Residence/Home,,Automobile,1500.0,1500.0,Y,14-Nov-19
2019,North Carolina,South Atlantic,ASHE,South,"Non-MSA counties from 10,000 thru 24,999",Burglary/Breaking & Entering,White,Not Hispanic or Latino,,F,Individual,Parking/Drop Lot/Garage,,Tools,3185.0,200.0,Y,11-Jul-19
2019,Oregon,Pacific,LANE,West,"Cities from 100,000 thru 249,999",Theft From Motor Vehicle,White,Unknown,34.0,M,Individual,Residence/Home,,Tools,1585.0,0.0,N,
2019,North Carolina,South Atlantic,WAKE,South,"MSA counties 100,000 or over",False Pretenses/Swindle/Confidence Game,,,,,Individual,Residence/Home,,Money,3600.0,0.0,N,
2019,North Carolina,South Atlantic,BUNCOMBE,South,"MSA counties 100,000 or over",Theft From Building,,,,,Individual,Residence/Home,,Watercraft,1600.0,0.0,N,
2019,Colorado,Mountain,TELLER,West,"MSA counties from 10,000 thru 24,999",Theft From Building,,,,,Individual,Residence/Home,,Household Goods,7649.0,0.0,N,
2019,North Carolina,South Atlantic,WAYNE,South,"Cities from 25,000 thru 49,999",Motor Vehicle Theft,,,,,Individual,Parking/Drop Lot/Garage,,Automobile,25000.0,25000.0,Y,17-Jan-19
2019,North Carolina,South Atlantic,PITT,South,"MSA counties from 25,000 thru 99,999",Burglary/Breaking & Entering,,,,,Individual,Residence/Home,,Money,1800.0,0.0,N,
2019,Rhode Island,New England,PROVIDENCE,Northeast,"Cities under 2,500",Theft From Motor Vehicle,,,,,Business,School-College/University,,Trailers,4000.0,0.0,N,
2019,Texas,West South Central,HARRISON; GREGG,South,"Cities from 50,000 thru 99,999",Motor Vehicle Theft,Unknown,Unknown,,U,Individual,Residence/Home,,Automobile,4000.0,1.0,Y,11-Nov-19
